YEAR,MO,DY,WS10M
2010,3,1,2.8
2010,3,2,2.88
2010,3,3,2.76
2010,3,4,2.88
2010,3,5,3.1
2010,3,6,4.7
2010,3,7,5.79
2010,3,8,2.95
2010,3,9,1.88
2010,3,10,3.74
2010,3,11,5.42
2010,3,12,4.92
2010,3,13,4.49
2010,3,14,2.35
2010,3,15,2.05
2010,3,16,1.16
2010,3,17,2.59
2010,3,18,4.33
2010,3,19,3.45
2010,3,20,2.47
2010,3,21,2.41
2010,3,22,3.66
2010,3,23,3.61
2010,3,24,3.92
2010,3,25,2.91
2010,3,26,2.91
2010,3,27,3.19
2010,3,28,1.73
2010,3,29,2.69
2010,3,30,3.77
2010,3,31,4.55
2010,4,1,4.88
2010,4,2,4.55
2010,4,3,2.52
2010,4,4,2.23
2010,4,5,2.73
2010,4,6,1.83
2010,4,7,2.35
2010,4,8,2.77
2010,4,9,1.68
2010,4,10,2.8
2010,4,11,3.33
2010,4,12,3.34
2010,4,13,4.63
2010,4,14,4.3
2010,4,15,3.73
2010,4,16,2.19
2010,4,17,1.79
2010,4,18,2.34
2010,4,19,3.8
2010,4,20,4.05
2010,4,21,4.7
2010,4,22,4.58
2010,4,23,3.56
2010,4,24,2.95
2010,4,25,2.91
2010,4,26,2.41
2010,4,27,1.84
2010,4,28,2.05
2010,4,29,2.53
2010,4,30,2.65
2010,5,1,2.1
2010,5,2,2.33
2010,5,3,2.55
2010,5,4,3.23
2010,5,5,4.2
2010,5,6,4.16
2010,5,7,3.98
2010,5,8,4.03
2010,5,9,3.34
2010,5,10,2.4
2010,5,11,3.37
2010,5,12,3.65
2010,5,13,4.66
2010,5,14,5.96
2010,5,15,4.52
2010,5,16,5.3
2010,5,17,5.52
2010,5,18,5.56
2010,5,19,6.75
2010,5,20,7.17
2010,5,21,6.81
2010,5,22,5.32
2010,5,23,4.2
2010,5,24,5.74
2010,5,25,5.6
2010,5,26,5.88
2010,5,27,5.17
2010,5,28,5.26
2010,5,29,5.98
2010,5,30,6.05
2010,5,31,5.95
2010,6,1,5.34
2010,6,2,5.58
2010,6,3,4.59
2010,6,4,4.43
2010,6,5,6.6
2010,6,6,5.97
2010,6,7,6.91
2010,6,8,6.49
2010,6,9,8.23
2010,6,10,7.87
2010,6,11,9.41
2010,6,12,7.89
2010,6,13,7.87
2010,6,14,5.61
2010,6,15,3.94
2010,6,16,2.7
2010,6,17,3.07
2010,6,18,2.69
2010,6,19,3.66
2010,6,20,3.86
2010,6,21,3.8
2010,6,22,4.73
2010,6,23,6.66
2010,6,24,6.89
2010,6,25,6.82
2010,6,26,5.82
2010,6,27,4.95
2010,6,28,5.52
2010,6,29,5.57
2010,6,30,6.06
2010,7,1,5.55
2010,7,2,4.81
2010,7,3,5.23
2010,7,4,4.48
2010,7,5,6.02
2010,7,6,5.38
2010,7,7,4.77
2010,7,8,5.16
2010,7,9,4.95
2010,7,10,2.95
2010,7,11,2.56
2010,7,12,3.22
2010,7,13,4.11
2010,7,14,5.63
2010,7,15,6.45
2010,7,16,7.55
2010,7,17,6.62
2010,7,18,6.84
2010,7,19,7.62
2010,7,20,5.73
2010,7,21,5.86
2010,7,22,5.86
2010,7,23,5.42
2010,7,24,6.08
2010,7,25,4.92
2010,7,26,4.98
2010,7,27,5.55
2010,7,28,6.55
2010,7,29,7.1
2010,7,30,5.95
2010,7,31,4.75
2010,8,1,4.35
2010,8,2,4.84
2010,8,3,5.09
2010,8,4,4.64
2010,8,5,4.42
2010,8,6,5.66
2010,8,7,4.47
2010,8,8,5.41
2010,8,9,5.56
2010,8,10,6.19
2010,8,11,6.63
2010,8,12,6.49
2010,8,13,6.9
2010,8,14,6.48
2010,8,15,7.14
2010,8,16,7.16
2010,8,17,7.65
2010,8,18,5.82
2010,8,19,5.67
2010,8,20,5.06
2010,8,21,4.45
2010,8,22,5.95
2010,8,23,6.75
2010,8,24,7.55
2010,8,25,6.45
2010,8,26,6.61
2010,8,27,5.38
2010,8,28,4.43
2010,8,29,5.51
2010,8,30,5.91
2010,8,31,4.47
2010,9,1,4.27
2010,9,2,5.47
2010,9,3,5.57
2010,9,4,4.13
2010,9,5,3.46
2010,9,6,4.07
2010,9,7,4.9
2010,9,8,4.76
2010,9,9,3.88
2010,9,10,4.91
2010,9,11,4.49
2010,9,12,4.77
2010,9,13,5.45
2010,9,14,4.23
2010,9,15,4.98
2010,9,16,5.59
2010,9,17,5.24
2010,9,18,5.95
2010,9,19,5.57
2010,9,20,4.62
2010,9,21,3.78
2010,9,22,4.12
2010,9,23,2.73
2010,9,24,4.32
2010,9,25,3.2
2010,9,26,2.2
2010,9,27,3.18
2010,9,28,3.5
2010,9,29,1.8
2010,9,30,1.95
2010,10,1,1.86
2010,10,2,2.61
2010,10,3,2.84
2010,10,4,3.92
2010,10,5,5.94
2010,10,6,6.95
2010,10,7,6.6
2010,10,8,5.43
2010,10,9,6.4
2010,10,10,4.72
2010,10,11,4.48
2010,10,12,4.22
2010,10,13,4.28
2010,10,14,5.05
2010,10,15,6.43
2010,10,16,6.41
2010,10,17,5.89
2010,10,18,5.42
2010,10,19,5.05
2010,10,20,4.41
2010,10,21,4.83
2010,10,22,5.66
2010,10,23,4.84
2010,10,24,4.52
2010,10,25,4.32
2010,10,26,3.93
2010,10,27,4.11
2010,10,28,3.34
2010,10,29,2.68
2010,10,30,2.73
2010,10,31,3.58
2010,11,1,4.16
2010,11,2,3.62
2010,11,3,3.16
2010,11,4,2.88
2010,11,5,3.33
2010,11,6,3.9
2010,11,7,5.52
2010,11,8,5.03
2010,11,9,3.31
2010,11,10,3.16
2010,11,11,4.05
2010,11,12,3.55
2010,11,13,2.55
2010,11,14,1.94
2010,11,15,2.49
2010,11,16,3.02
2010,11,17,2.59
2010,11,18,2.44
2010,11,19,2.01
2010,11,20,1.91
2010,11,21,2.8
2010,11,22,1.88
2010,11,23,2.35
2010,11,24,2.15
2010,11,25,2.82
2010,11,26,2.67
2010,11,27,1.73
2010,11,28,1.7
2010,11,29,3.95
2010,11,30,3.24
2010,12,1,2.49
2010,12,2,1.98
2010,12,3,2.46
2010,12,4,3.1
2010,12,5,3.43
2010,12,6,3.12
2010,12,7,2.66
2010,12,8,4.44
2010,12,9,5.55
2010,12,10,4.38
2010,12,11,3.95
2010,12,12,5.06
2010,12,13,3.77
2010,12,14,3.05
2010,12,15,1.89
2010,12,16,2.39
2010,12,17,2.37
2010,12,18,1.48
2010,12,19,5.42
2010,12,20,4.06
2010,12,21,4.02
2010,12,22,3.77
2010,12,23,2.54
2010,12,24,2.73
2010,12,25,1.75
2010,12,26,2.7
2010,12,27,3.31
2010,12,28,3.53
2010,12,29,3.19
2010,12,30,3.7
2010,12,31,2.37
2011,1,1,1.34
2011,1,2,2.48
2011,1,3,2.41
2011,1,4,2.67
2011,1,5,4.52
2011,1,6,3.32
2011,1,7,2.82
2011,1,8,1.77
2011,1,9,1.82
2011,1,10,1.68
2011,1,11,1.36
2011,1,12,2.36
2011,1,13,3.2
2011,1,14,3.66
2011,1,15,3.85
2011,1,16,3.84
2011,1,17,3.21
2011,1,18,3.75
2011,1,19,4.08
2011,1,20,3.8
2011,1,21,4.24
2011,1,22,4.85
2011,1,23,5.34
2011,1,24,5.12
2011,1,25,4.6
2011,1,26,5.18
2011,1,27,5.7
2011,1,28,4.64
2011,1,29,4.55
2011,1,30,5.14
2011,1,31,4.95
2011,2,1,3.3
2011,2,2,4.14
2011,2,3,3.77
2011,2,4,3.16
2011,2,5,2.95
2011,2,6,2.94
2011,2,7,3.05
2011,2,8,2.66
2011,2,9,2.08
2011,2,10,2.53
2011,2,11,3.16
2011,2,12,3.48
2011,2,13,3.11
2011,2,14,2.87
2011,2,15,2.55
2011,2,16,2.52
2011,2,17,2.5
2011,2,18,3.41
2011,2,19,3.23
2011,2,20,2.76
2011,2,21,2.49
2011,2,22,2.18
2011,2,23,2.55
2011,2,24,2.37
2011,2,25,2.1
2011,2,26,2.02
2011,2,27,2.17
2011,2,28,2.99
2011,3,1,3.4
2011,3,2,3.27
2011,3,3,2.84
2011,3,4,2.52
2011,3,5,1.8
2011,3,6,2.29
2011,3,7,2.05
2011,3,8,2.23
2011,3,9,1.63
2011,3,10,1.68
2011,3,11,2.05
2011,3,12,1.96
2011,3,13,2.52
2011,3,14,2.8
2011,3,15,2.22
2011,3,16,2.1
2011,3,17,2.98
2011,3,18,3.29
2011,3,19,2.45
2011,3,20,2.41
2011,3,21,3.26
2011,3,22,4.42
2011,3,23,3.64
2011,3,24,4.17
2011,3,25,4.72
2011,3,26,4.21
2011,3,27,3.51
2011,3,28,3.87
2011,3,29,3.53
2011,3,30,3.02
2011,3,31,2.9
2011,4,1,4.1
2011,4,2,4.02
2011,4,3,4.3
2011,4,4,4.28
2011,4,5,4.17
2011,4,6,2.69
2011,4,7,1.98
2011,4,8,2.5
2011,4,9,2.89
2011,4,10,1.83
2011,4,11,2.08
2011,4,12,1.69
2011,4,13,1.96
2011,4,14,3.62
2011,4,15,3.69
2011,4,16,1.85
2011,4,17,1.84
2011,4,18,2.77
2011,4,19,2.95
2011,4,20,2.39
2011,4,21,2.95
2011,4,22,3.48
2011,4,23,4.33
2011,4,24,2.65
2011,4,25,4.54
2011,4,26,5.06
2011,4,27,3.8
2011,4,28,5.14
